1.00007,0.00105,0.95741
0.99616,0.00177,0.12298
0.98448,0.0039,0.1404
0.96521,0.00733,0.07587
0.93863,0.01191,0.01754
0.90516,0.01744,-0.03536
0.86529,0.02367,-0.08399
0.81965,0.03035,-0.12934
0.76892,0.03722,-0.17223
0.71391,0.04402,-0.21339
0.65547,0.05049,-0.25347
0.59452,0.05636,-0.29303
0.53201,0.06141,-0.33257
0.46895,0.06541,-0.37263
0.40634,0.06816,-0.41897
0.34482,0.06927,-0.46328
0.2857,0.06837,-0.48828
0.23003,0.06549,-0.50045
0.17873,0.06075,-0.49895
0.13266,0.05438,-0.48222
0.09258,0.04667,-0.4473
0.05912,0.03797,-0.38721
0.0328,0.02865,-0.28271
0.01403,0.01903,-0.07451
0.00305,0.00942,0.43792
0,0,0.98789
0.00484,-0.00863,0.19844
0.01739,-0.01595,-0.18642
0.03742,-0.02193,-0.26093
0.06457,-0.02656,-0.25882
0.0984,-0.02985,-0.23361
0.13837,-0.03187,-0.20073
0.18384,-0.03271,-0.16562
0.23414,-0.03254,-0.13102
0.28852,-0.03156,-0.0989
0.34617,-0.03001,-0.07116
0.40628,-0.02816,-0.05498
0.46826,-0.02594,-0.03944
0.53078,-0.02333,-0.01944
0.59286,-0.02053,-0.00011
0.65354,-0.01768,0.018
0.71187,-0.0149,0.03493
0.7669,-0.01226,0.05112
0.81778,-0.00983,0.06733
0.86368,-0.00764,0.08458
0.90386,-0.00572,0.1041
0.93767,-0.00409,0.12748
0.96457,-0.00279,0.1567
0.98411,-0.00183,0.19338
0.99596,-0.00124,0.15814
0.99993,-0.00105,0.95741
